City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,zanjan,36.6736,48.4787,2.77,75,9,1.97,IR,1709684403
215,al burayqah,30.4062,19.5739,16.23,61,1,7.24,LY,1709684404
216,la passe,45.5549,-0.8967,7.13,87,100,4.25,FR,1709684404
217,ihosy,-22.4,46.1167,21.49,99,100,1.68,MG,1709684404
218,klyuchi,52.2667,79.1667,-10.8,92,81,4.38,RU,1709684405
219,sept-iles,50.2001,-66.3821,0.59,87,100,0.49,CA,1709684003
220,terrace heights,46.6062,-120.4398,9.59,32,40,3.6,US,1709684405
221,shitanjing,39.2342,106.3439,-3.83,39,86,2.36,CN,1709684406
222,qashyr,53.0675,76.1036,-12.23,95,96,3.71,KZ,1709684406
223,lewistown,40.5992,-77.5714,12.82,96,100,2.06,US,1709683854
224,vadso,70.0744,29.7487,-3.91,86,57,5.14,NO,1709684063
225,sile,41.1754,29.6133,10.87,76,100,1.34,TR,1709684407
226,hotan,37.0997,79.9269,2.18,47,75,2.35,CN,1709683945
227,flin flon,54.7682,-101.865,-14.09,61,40,2.57,CA,1709684407
228,briare,47.6334,2.7438,5.31,95,49,2.99,FR,1709684408
229,chifeng,42.2683,118.9636,-6.46,44,3,1.65,CN,1709684408
230,hadibu,12.65,54.0333,25.43,82,51,1.52,YE,1709684128
231,remire-montjoly,4.9167,-52.2667,26.02,94,40,0.0,GF,1709683966
232,ankeny,41.7297,-93.6058,11.62,46,0,2.57,US,1709684409
233,bikenibeu village,1.3673,173.1241,27.02,85,100,7.04,KI,1709683946
234,nizhnevartovsk,60.9344,76.5531,-20.99,84,0,3.0,RU,1709684409
235,anadyr,64.75,177.4833,-10.72,79,100,5.0,RU,1709684409
236,ed damer,17.5928,33.9592,23.21,13,3,6.96,SD,1709684410
237,turpan,42.9333,89.1667,2.28,31,0,1.71,CN,1709684117
238,utrik,11.2278,169.8474,26.28,74,99,11.21,MH,1709684411
239,kodinsk,58.6881,99.1844,-13.09,98,100,2.13,RU,1709684412
240,ixtapa,20.7,-105.2,24.57,73,0,5.66,MX,1709684412
241,pelabuhanratu,-6.9875,106.5514,26.65,96,100,1.24,ID,1709684060
242,carnot,4.9409,15.8665,25.57,59,52,1.38,CF,1709684412
243,yaren,-0.5472,166.916,28.26,78,100,4.6,NR,1709684413
244,petropavlovsk-kamchatsky,53.0452,158.6483,-5.12,82,20,6.26,RU,1709683925
245,fort st. john,56.2499,-120.8529,-9.13,78,13,1.65,CA,1709683872
246,gamba,-2.65,10.0,27.11,86,100,2.22,GA,1709683993
247,yarmouth,41.7057,-70.2286,11.65,97,100,5.14,US,1709683973
248,mahina,-17.5065,-149.489,29.87,70,75,2.57,PF,1709684094
249,juneau,58.3019,-134.4197,-3.0,84,100,3.6,US,1709684059
250,westport,41.1415,-73.3579,8.97,89,100,3.09,US,1709684059
251,ishigaki,24.3448,124.1572,23.07,83,20,4.63,JP,1709684415
252,belmonte,-15.8631,-38.8828,26.61,84,91,3.32,BR,1709684415
253,brisas de zicatela,15.8369,-97.0419,28.29,78,20,4.12,MX,1709684415
254,cabedelo,-6.9811,-34.8339,27.37,89,100,2.9,BR,1709684415
255,umluj,25.0213,37.2685,21.88,54,0,3.97,SA,1709684416
256,callao,-12.0667,-77.15,27.62,73,0,6.17,PE,1709684346
257,codrington,-38.2667,141.9667,22.42,45,3,2.97,AU,1709683848
258,khandyga,62.6667,135.6,-28.89,98,96,0.16,RU,1709683934
259,fale old settlement,-9.3852,-171.2468,29.32,74,17,5.44,TK,1709684417
260,kenora,49.8167,-94.4337,-9.6,87,9,0.47,CA,1709684124
261,inhambane,-23.865,35.3833,25.59,91,17,4.42,MZ,1709684418
262,gisborne,-38.6533,178.0042,19.68,38,41,3.07,NZ,1709684033
263,deder,9.3167,41.45,16.57,55,84,2.47,ET,1709684418
264,tibanbang,6.6315,126.1055,26.58,79,88,2.57,PH,1709684422
265,wamba,8.9333,8.6,29.2,32,95,1.09,NG,1709683874
266,al jawf,29.5,38.75,14.82,37,0,4.36,SA,1709684423
267,pauini,-7.7136,-66.9764,24.52,95,85,0.57,BR,1709684423
268,sogndal,61.2283,7.1003,1.21,69,92,1.54,NO,1709683969
269,kaiapoi,-43.3783,172.6401,19.15,45,20,2.06,NZ,1709684426
270,vodnyy,63.5046,53.4095,-18.66,100,100,1.39,RU,1709684358
271,enshi,30.3,109.4833,8.73,94,100,0.69,CN,1709683970
272,chimoio,-19.1164,33.4833,20.43,97,44,0.68,MZ,1709684427
273,adigrat,14.277,39.462,16.27,64,19,1.42,ET,1709684429
274,midvagur,62.0511,-7.1939,7.46,87,100,10.29,FO,1709684430
275,kimbe,-5.5502,150.1429,30.68,68,89,0.91,PG,1709683950
276,sanibel,26.449,-82.0223,25.6,85,88,2.68,US,1709684430
277,dera bugti,29.0307,69.151,12.19,28,1,1.64,PK,1709684431
278,madang,-5.2246,145.7966,29.09,78,100,1.03,PG,1709683935
279,bridgewater,44.3835,-64.5155,2.04,98,100,2.06,CA,1709684431
280,saint-georges,12.0564,-61.7485,26.82,83,20,6.69,GD,1709684432
281,tucurui,-3.7661,-49.6725,24.72,87,95,0.9,BR,1709684335
282,macau,22.2006,113.5461,23.89,100,100,0.0,MO,1709684432
283,sault ste. marie,46.5168,-84.3333,1.16,80,0,3.6,CA,1709683813
284,dunedin,-45.8742,170.5036,17.67,51,98,1.34,NZ,1709684242
285,pisco,-13.7,-76.2167,24.03,78,0,9.26,PE,1709684433
286,el abiodh sidi cheikh,32.893,0.5484,13.4,37,99,2.45,DZ,1709684434
287,sao joao da barra,-21.6403,-41.0511,27.05,90,4,4.34,BR,1709684434
288,kismayo,-0.3582,42.5454,27.7,78,8,5.57,SO,1709684435
289,monduli,-3.3,36.45,18.28,77,52,1.68,TZ,1709684436
